City,Year,PM2.5,PM10,NO2,NH3,CO,SO2,O3,AQI
Ahmedabad,2015,150.27,95.68,34.86,15.85,15.9,26.35,31.96,653.0
Ahmedabad,2015,118.91,95.68,29.22,15.85,5.42,79.47,24.89,355.0
Ahmedabad,2015,91.41,95.68,23.45,15.85,5.19,25.44,6.25,227.0
Ahmedabad,2015,95.9,95.68,33.63,15.85,10.38,30.06,27.34,316.0
Ahmedabad,2015,137.87,95.68,32.98,15.85,20.2,21.89,17.41,536.0
Ahmedabad,2015,90.71,95.68,25.73,15.85,18.12,17.89,26.02,370.0
Ahmedabad,2015,108.68,95.68,32.87,15.85,17.03,22.59,19.56,551.0
Ahmedabad,2015,98.79,95.68,31.2,15.85,17.72,26.09,30.19,393.0
Ahmedabad,2015,145.75,95.68,34.71,15.85,20.61,24.66,95.94,671.0
Ahmedabad,2015,179.43,95.68,39.42,15.85,52.33,39.15,112.01,969.0
Ahmedabad,2015,170.52,95.68,35.22,15.85,15.49,34.03,53.98,471.0
Ahmedabad,2015,203.4,95.68,36.63,15.85,23.03,94.3,5.36,529.0
Ahmedabad,2015,92.71,95.68,30.65,15.85,12.92,42.08,72.86,118.0
Ahmedabad,2015,64.66,95.68,23.83,15.85,4.79,34.4,24.76,213.0
Ahmedabad,2015,78.14,95.68,28.93,15.85,10.58,44.91,35.56,297.0
Ahmedabad,2015,100.17,95.68,34.16,15.85,32.27,27.73,23.95,605.0
Ahmedabad,2015,147.35,95.68,39.1,15.85,34.64,46.09,26.43,691.0
Ahmedabad,2015,206.89,95.68,55.67,15.85,145.32,20.47,38.0,971.0
Ahmedabad,2015,114.84,95.68,40.31,15.85,38.09,22.94,30.19,118.0
Ahmedabad,2015,89.64,95.68,25.75,15.85,5.42,44.92,43.04,270.0
Ahmedabad,2015,51.72,95.68,21.15,15.85,1.89,37.31,66.58,188.0
Ahmedabad,2015,54.59,95.68,18.33,15.85,2.31,19.08,42.43,114.0
Ahmedabad,2015,46.5,95.68,12.1,15.85,1.22,13.73,61.56,143.0
Ahmedabad,2015,122.54,95.68,44.2,15.85,75.42,13.78,60.66,118.0
Ahmedabad,2015,147.18,95.68,36.87,15.85,33.06,21.24,131.12,557.0
Ahmedabad,2015,214.67,95.68,42.21,15.85,57.37,22.18,30.84,118.0
Ahmedabad,2015,207.13,95.68,35.31,15.85,28.41,50.33,30.84,536.0
Ahmedabad,2015,191.01,95.68,50.11,15.85,39.61,40.78,27.9,354.0
Ahmedabad,2015,192.35,95.68,29.04,15.85,9.39,29.18,33.21,381.0
Ahmedabad,2015,127.64,95.68,31.91,15.85,6.74,26.94,47.33,355.0
Ahmedabad,2016,48.57,95.68,21.69,15.85,0.89,9.16,30.84,118.0
Ahmedabad,2016,33.02,95.68,28.91,15.85,11.69,1.38,36.04,118.0
Ahmedabad,2016,27.29,95.68,28.12,15.85,9.81,1.61,39.26,272.0
Ahmedabad,2016,41.43,95.68,31.82,15.85,10.45,1.7,28.05,253.0
Ahmedabad,2016,30.16,95.68,15.99,15.85,10.41,1.6,23.76,256.0
Ahmedabad,2016,29.42,95.68,10.11,15.85,9.39,1.57,16.42,257.0
Ahmedabad,2016,20.87,95.68,7.49,15.85,9.04,1.6,14.27,213.0
Ahmedabad,2016,35.08,95.68,6.52,15.85,8.36,1.63,19.44,218.0
Ahmedabad,2016,40.23,95.68,2.79,15.85,8.68,1.69,15.16,214.0
